action_context,action_favored_3d,board_phase,coarse_label,control_label,d15_60_close_vs_vwap,d15_60_close_vs_vwap_rz,d15_60_failed_push_proxy,d15_60_last_bar_lower_shadow_ratio,d15_60_last_bar_lower_shadow_ratio_rz,d15_60_last_bar_return,d15_60_last_bar_return_rz,d15_60_last_bar_upper_shadow_ratio,d15_60_last_bar_upper_shadow_ratio_rz,d15_60_last_bar_volume_share,d15_60_last_bar_volume_share_rz,d15_60_lower_shadow_ratio,d15_60_lower_shadow_ratio_rz,d15_60_upper_shadow_ratio,d15_60_upper_shadow_ratio_rz,d5_30_close_vs_vwap,d5_30_close_vs_vwap_rz,d5_30_last_bar_lower_shadow_ratio,d5_30_last_bar_lower_shadow_ratio_rz,d5_30_last_bar_return,d5_30_last_bar_return_rz,d5_30_last_bar_upper_shadow_ratio,d5_30_last_bar_upper_shadow_ratio_rz,d5_30_last_bar_volume_share,d5_30_last_bar_volume_share_rz,d5_30_lower_shadow_ratio,d5_30_lower_shadow_ratio_rz,d5_30_upper_shadow_ratio,d5_30_upper_shadow_ratio_rz,execution_trade_date,expectancy_proxy_3d,f30_afternoon_volume_share,f30_afternoon_volume_share_rz,f30_body_ratio,f30_body_ratio_rz,f30_breakout_efficiency,f30_breakout_efficiency_rz,f30_close_location,f30_close_location_rz,f30_close_vs_vwap,f30_close_vs_vwap_rz,f30_failed_push_proxy,f30_high_time_ratio,f30_high_time_ratio_rz,f30_last_bar_lower_shadow_ratio,f30_last_bar_lower_shadow_ratio_rz,f30_last_bar_return,f30_last_bar_return_rz,f30_last_bar_upper_shadow_ratio,f30_last_bar_upper_shadow_ratio_rz,f30_last_bar_volume_share,f30_last_bar_volume_share_rz,f30_lower_shadow_ratio,f30_lower_shadow_ratio_rz,f30_pullback_from_high,f30_pullback_from_high_rz,f30_upper_shadow_ratio,f30_upper_shadow_ratio_rz,f60_afternoon_volume_share,f60_afternoon_volume_share_rz,f60_body_ratio,f60_body_ratio_rz,f60_breakout_efficiency,f60_breakout_efficiency_rz,f60_close_location,f60_close_location_rz,f60_close_vs_vwap,f60_close_vs_vwap_rz,f60_failed_push_proxy,f60_high_time_ratio,f60_high_time_ratio_rz,f60_last_bar_lower_shadow_ratio,f60_last_bar_lower_shadow_ratio_rz,f60_last_bar_return,f60_last_bar_return_rz,f60_last_bar_upper_shadow_ratio,f60_last_bar_upper_shadow_ratio_rz,f60_last_bar_volume_share,f60_last_bar_volume_share_rz,f60_lower_shadow_ratio,f60_lower_shadow_ratio_rz,f60_pullback_from_high,f60_pullback_from_high_rz,f60_upper_shadow_ratio,f60_upper_shadow_ratio_rz,forward_close_return_3d,max_adverse_return_3d,max_favorable_return_3d,role_family,row_weight,signal_trade_date,split_group,symbol
add_vs_hold,False,main_markup,hold_or_skip,eligibility,0.019744,19744000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003639,-3639000.0,0.0,0.0,0.0,0.0,0.015803,15803000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002141,-2141000.0,0.0,0.0,0.0,0.0,2025-08-26,-0.068626,0.221163,221163000.0,0.0,0.0,0.976619,976619000.0,1.0,1000000000.0,0.019246,19246000.0,0.0,0.375,375000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002532,2532000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221163,221163000.0,0.0,0.0,0.976619,976619000.0,1.0,1000000000.0,0.001886,1886000.0,0.0,0.5,500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005097,5097000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018388,-0.062234,0.023993,packaging_process_enabler,0.586667,2025-08-25,test,300757
entry_vs_skip,False,diffusion,hold_or_skip,eligibility,0.008645,8645000.0,0.0,0.0,0.0,-0.004415,-4415000.0,0.0,0.0,-0.092991,-92991000.0,0.0,0.0,0.0,0.0,-0.004479,-4479000.0,0.0,0.0,-0.008017,-8017000.0,0.0,0.0,-0.075582,-75582000.0,0.0,0.0,0.0,0.0,2025-08-29,0.167195,0.272405,272405000.0,0.0,0.0,0.838664,838664000.0,0.838664,838664000.0,0.029883,29883000.0,0.0,0.375,375000000.0,0.0,0.0,0.009985,9985000.0,0.0,0.0,0.096375,96375000.0,0.0,0.0,-0.014182,-14182000.0,0.0,0.0,0.272405,272405000.0,0.0,0.0,0.838664,838664000.0,0.838664,838664000.0,0.014858,14858000.0,0.0,0.5,500000000.0,0.0,0.0,0.021988,21988000.0,0.0,0.0,0.143803,143803000.0,0.0,0.0,-0.014182,-14182000.0,0.0,0.0,0.115689,-0.080824,0.264659,laser_chip_component,0.586667,2025-08-28,test,688498
entry_vs_skip,True,diffusion,increase_expression,eligibility,-0.003667,-3667000.0,0.0,0.0,0.0,0.008634,8634000.0,0.0,0.0,-0.114673,-114673000.0,0.0,0.0,0.0,0.0,0.002134,2134000.0,0.0,0.0,-0.001476,-1476000.0,0.0,0.0,-0.076546,-76546000.0,0.0,0.0,0.0,0.0,2025-09-01,0.429857,0.33774,337740000.0,0.0,0.0,-0.596563,-596563000.0,0.35098,350980000.0,0.000512,512000.0,0.0,0.125,125000000.0,0.0,0.0,0.002045,2045000.0,0.0,0.0,0.090055,90055000.0,0.0,0.0,-0.052456,-52456000.0,0.0,0.0,0.33774,337740000.0,0.0,0.0,-0.596563,-596563000.0,0.35098,350980000.0,0.0032,3200000.0,0.0,0.25,250000000.0,0.0,0.0,-0.000167,-167000.0,0.0,0.0,0.172147,172147000.0,0.0,0.0,-0.052456,-52456000.0,0.0,0.0,0.263138,-0.003906,0.34125,laser_chip_component,20.533333,2025-08-29,test,688498
entry_vs_skip,True,diffusion,increase_expression,eligibility,-0.014567,-14567000.0,0.0,0.0,0.0,-0.017288,-17288000.0,0.0,0.0,-0.09378,-93780000.0,0.0,0.0,0.0,0.0,-0.002321,-2321000.0,0.0,0.0,-0.004483,-4483000.0,0.0,0.0,-0.070453,-70453000.0,0.0,0.0,0.0,0.0,2025-09-09,0.315625,0.26051,260510000.0,0.0,0.0,-0.68468,-684680000.0,0.190995,190995000.0,-0.011578,-11578000.0,0.0,0.125,125000000.0,0.0,0.0,0.003096,3096000.0,0.0,0.0,0.082315,82315000.0,0.0,0.0,-0.124324,-124324000.0,0.0,0.0,0.26051,260510000.0,0.0,0.0,-0.68468,-684680000.0,0.190995,190995000.0,0.000217,217000.0,0.0,0.25,250000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131111,131111000.0,0.0,0.0,-0.124324,-124324000.0,0.0,0.0,0.209375,-0.0125,0.2375,laser_chip_component,20.533333,2025-09-08,test,688498
close_vs_hold,False,main_markup,hold_or_skip,holding_veto,0.003728,3728000.0,0.0,0.0,0.0,0.005509,5509000.0,0.0,0.0,-0.096337,-96337000.0,0.0,0.0,0.0,0.0,0.006241,6241000.0,0.0,0.0,-0.00206,-2060000.0,0.0,0.0,-0.083914,-83914000.0,0.0,0.0,0.0,0.0,2025-09-15,-0.040744,0.323844,323844000.0,0.0,0.0,0.228727,228727000.0,0.552559,552559000.0,-0.006742,-6742000.0,0.0,0.375,375000000.0,0.0,0.0,0.000664,664000.0,0.0,0.0,0.111431,111431000.0,0.0,0.0,-0.022668,-22668000.0,0.0,0.0,0.323844,323844000.0,0.0,0.0,0.228727,228727000.0,0.552559,552559000.0,-0.009213,-9213000.0,0.0,0.5,500000000.0,0.0,0.0,-0.008014,-8014000.0,0.0,0.0,0.169238,169238000.0,0.0,0.0,-0.022668,-22668000.0,0.0,0.0,-0.009268,-0.046073,0.029195,core_module_leader,0.586667,2025-09-12,test,300308
reduce_vs_hold,True,main_markup,decrease_expression,de_risk,0.004704,4704000.0,0.0,0.0,0.0,0.007441,7441000.0,0.0,0.0,-0.105486,-105486000.0,0.0,0.0,0.0,0.0,0.00839,8390000.0,0.0,0.0,0.002057,2057000.0,0.0,0.0,-0.0795,-79500000.0,0.0,0.0,0.0,0.0,2025-09-30,-0.214884,0.280251,280251000.0,0.0,0.0,0.639564,639564000.0,0.639564,639564000.0,-0.009982,-9982000.0,0.0,0.25,250000000.0,0.0,0.0,-0.001851,-1851000.0,0.0,0.0,0.101662,101662000.0,0.0,0.0,-0.025695,-25695000.0,0.0,0.0,0.280251,280251000.0,0.0,0.0,0.639564,639564000.0,0.639564,639564000.0,-0.005572,-5572000.0,0.0,0.25,250000000.0,0.0,0.0,-0.005532,-5532000.0,0.0,0.0,0.167289,167289000.0,0.0,0.0,-0.025695,-25695000.0,0.0,0.0,-0.110026,-0.112571,0.015424,high_beta_core_module,0.802083,2025-09-29,test,300502
entry_vs_skip,True,diffusion,increase_expression,eligibility,-0.00528,-5280000.0,0.0,0.0,0.0,-0.005984,-5984000.0,0.0,0.0,-0.06505,-65050000.0,0.0,0.0,0.0,0.0,0.006442,6442000.0,0.0,0.0,0.004278,4278000.0,0.0,0.0,-0.051922,-51922000.0,0.0,0.0,0.0,0.0,2025-11-03,0.132765,0.216079,216079000.0,0.0,0.0,-0.433557,-433557000.0,0.206938,206938000.0,-0.0194,-19400000.0,1.0,0.25,250000000.0,0.0,0.0,-0.008219,-8219000.0,0.0,0.0,0.05432,54320000.0,0.0,0.0,-0.08295,-82950000.0,0.0,0.0,0.216079,216079000.0,0.0,0.0,-0.433557,-433557000.0,0.206938,206938000.0,-0.013641,-13641000.0,1.0,0.25,250000000.0,0.0,0.0,0.007937,7937000.0,0.0,0.0,0.094219,94219000.0,0.0,0.0,-0.08295,-82950000.0,0.0,0.0,0.084843,-0.010408,0.116661,laser_chip_component,20.533333,2025-10-31,test,688498
close_vs_hold,False,main_markup,hold_or_skip,holding_veto,0.004358,4358000.0,0.0,0.0,0.0,0.005441,5441000.0,0.0,0.0,-0.114365,-114365000.0,0.0,0.0,0.0,0.0,-0.00053,-530000.0,0.0,0.0,0.003535,3535000.0,0.0,0.0,-0.106283,-106283000.0,0.0,0.0,0.0,0.0,2025-12-22,0.115905,0.29207,292070000.0,0.0,0.0,-0.681425,-681425000.0,0.083832,83832000.0,-0.009798,-9798000.0,1.0,0.25,250000000.0,0.0,0.0,-0.004059,-4059000.0,0.0,0.0,0.12882,128820000.0,0.0,0.0,-0.026065,-26065000.0,0.0,0.0,0.29207,292070000.0,0.0,0.0,-0.681425,-681425000.0,0.083832,83832000.0,-0.014007,-14007000.0,1.0,0.25,250000000.0,0.0,0.0,-0.00425,-4250000.0,0.0,0.0,0.178711,178711000.0,0.0,0.0,-0.026065,-26065000.0,0.0,0.0,0.075236,0.0,0.081338,core_module_leader,0.586667,2025-12-19,test,300308
add_vs_hold,False,main_markup,hold_or_skip,eligibility,-0.001715,-1715000.0,0.0,0.0,0.0,0.008514,8514000.0,0.0,0.0,-0.083904,-83904000.0,0.0,0.0,0.0,0.0,-0.000963,-963000.0,0.0,0.0,0.002981,2981000.0,0.0,0.0,-0.065727,-65727000.0,0.0,0.0,0.0,0.0,2026-01-07,-0.163783,0.313543,313543000.0,0.0,0.0,0.48427,484270000.0,0.7628,762800000.0,0.011212,11212000.0,0.0,0.125,125000000.0,0.0,0.0,0.000383,383000.0,0.0,0.0,0.080306,80306000.0,0.0,0.0,-0.008689,-8689000.0,0.0,0.0,0.313543,313543000.0,0.0,0.0,0.48427,484270000.0,0.7628,762800000.0,0.01111,11110000.0,0.0,0.25,250000000.0,0.0,0.0,-0.004933,-4933000.0,0.0,0.0,0.130956,130956000.0,0.0,0.0,-0.008689,-8689000.0,0.0,0.0,-0.065255,-0.103188,0.009319,high_beta_core_module,0.586667,2026-01-06,test,300502
add_vs_hold,False,main_markup,hold_or_skip,eligibility,-0.021248,-21248000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0078,-7800000.0,0.0,0.0,0.0,0.0,-0.036225,-36225000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0056,-5600000.0,0.0,0.0,0.0,0.0,2023-05-19,-0.239755,0.022663,22663000.0,0.0,0.0,0.617132,617132000.0,1.0,1000000000.0,0.036225,36225000.0,0.0,0.375,375000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056,5600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022663,22663000.0,0.0,0.0,0.617132,617132000.0,1.0,1000000000.0,0.021248,21248000.0,0.0,0.5,500000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078,7800000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.112379,-0.144064,0.033376,repaired_miss_window,0.586667,2023-05-18,train,300502
add_vs_hold,True,main_markup,increase_expression,eligibility,-0.012412,-12412000.0,0.0,0.0,0.0,0.017668,17668000.0,0.0,0.0,-0.152686,-152686000.0,0.0,0.0,0.0,0.0,-0.023222,-23222000.0,0.0,0.0,0.009178,9178000.0,0.0,0.0,-0.095145,-95145000.0,0.0,0.0,0.0,0.0,2023-06-15,0.296191,0.445061,445061000.0,0.0,0.0,0.423566,423566000.0,0.61042,610420000.0,0.023222,23222000.0,0.0,0.75,750000000.0,0.0,0.0,-0.009178,-9178000.0,0.0,0.0,0.095145,95145000.0,0.0,0.0,-0.037232,-37232000.0,0.0,0.0,0.445061,445061000.0,0.0,0.0,0.423566,423566000.0,0.61042,610420000.0,0.012412,12412000.0,0.0,0.75,750000000.0,0.0,0.0,-0.017668,-17668000.0,0.0,0.0,0.152686,152686000.0,0.0,0.0,-0.037232,-37232000.0,0.0,0.0,0.194996,-0.01419,0.230769,repaired_miss_window,20.533333,2023-06-14,train,300308
add_vs_hold,False,main_markup,hold_or_skip,eligibility,-0.02444,-24440000.0,0.0,0.0,0.0,0.000911,911000.0,0.0,0.0,-0.216822,-216822000.0,0.0,0.0,0.0,0.0,-0.028738,-28738000.0,0.0,0.0,0.030357,30357000.0,0.0,0.0,-0.098907,-98907000.0,0.0,0.0,0.0,0.0,2023-06-15,0.196261,0.515064,515064000.0,0.0,0.0,0.50668,506680000.0,0.633533,633533000.0,0.028738,28738000.0,0.0,0.875,875000000.0,0.0,0.0,-0.030357,-30357000.0,0.0,0.0,0.098907,98907000.0,0.0,0.0,-0.044438,-44438000.0,0.0,0.0,0.515064,515064000.0,0.0,0.0,0.50668,506680000.0,0.633533,633533000.0,0.02444,24440000.0,0.0,1.0,1000000000.0,0.0,0.0,-0.000911,-911000.0,0.0,0.0,0.216822,216822000.0,0.0,0.0,-0.044438,-44438000.0,0.0,0.0,0.166394,-0.07478,0.209295,repaired_miss_window,0.586667,2023-06-14,train,300502
